,ID,avg_rating,rating_count
1987,29687,6.229505247376312,667
1988,128442,6.395802098950525,667
1989,94104,6.89664167916042,667
1990,246297,6.36613263868066,667
1991,193308,6.901863568215892,667
1992,58,6.2110764017991,667
1993,137397,6.484766066066066,666
1994,161226,6.526323828828829,666
1995,27048,6.41428108108108,666
1996,38872,6.655375939849624,665
1997,171129,6.207606015037594,665
1998,41749,7.287503759398495,665
1999,318553,7.37984593373494,664
2000,181260,6.547513554216867,664
2001,132544,6.382265460030166,663
2002,42743,6.477028657616893,663
2003,122842,6.7508021148036255,662
2004,146221,6.750777945619336,662
2005,243,7.024917779456193,662
2006,267378,6.57333313161876,661
2007,8166,6.107044644478064,661
2008,101,6.692374409090909,660
2009,3522,2.717721212121212,660
2010,109451,5.931437727272727,660
2011,127095,6.564268181818182,660
2012,589,6.312691712121212,660
2013,58110,6.539124242424243,660
2014,35505,6.183423135464231,657
2015,29903,6.0776666666666666,657
2016,156689,7.201346270928462,657
2017,104581,6.64372213740458,655
2018,109779,6.445297709923664,655
2019,6050,6.123785550458716,654
2020,104994,6.437837920489296,654
2021,1275,5.440495412844037,654
2022,9342,5.95926450229709,653
2023,153016,7.473464777947932,653
2024,267813,6.906583460949464,653
2025,89910,6.537950535987748,653
2026,91080,7.161608895705521,652
2027,1265,6.492625490797546,652
2028,220792,6.894235499231951,651
2029,272682,7.330741935483871,651
2030,84159,6.131338461538461,650
2031,3632,6.255480493066256,649
2032,234190,5.011016949152543,649
2033,1035,6.88310255023184,647
2034,2266,6.202020108191654,647
2035,200785,6.122909319938175,647
2036,3886,4.900517774343123,647
2037,117663,5.8040278637770895,646
2038,190082,7.257102167182662,646
2039,319966,7.501472868217054,645
2040,130877,6.316170542635659,645
2041,58798,6.151326086956522,644
2042,228660,6.590186335403726,644
2043,281075,6.623541524105755,643
2044,2533,6.738208722741433,642
2045,299169,6.888383177570093,642
2046,1472,5.355410296411857,641
2047,95,6.276429578125,640
2048,4862,5.628,640
2049,312267,7.11370703125,640
2050,181960,6.617676056338028,639
2051,291572,7.1138080533751955,637
2052,250442,6.47460753532182,637
2053,4610,5.780411302982731,637
2054,156714,6.690172684458399,637
2055,231696,6.545426216640502,637
2056,80771,6.406648351648351,637
2057,245354,7.393409448818897,635
2058,11231,5.829655118110236,635
2059,24770,6.080992125984252,635
2060,143404,6.7240314960629926,635
2061,230251,5.974078740157481,635
2062,119012,6.66726025236593,634
2063,2393,6.660303722397476,634
2064,245045,6.828031595576619,633
2065,25420,6.2865588151658764,633
2066,3439,5.956113586097946,633
2067,182351,6.172227488151659,633
2068,128664,6.325207278481012,632
2069,232520,6.906028481012657,632
2070,258244,5.557609080824089,631
2071,173156,6.972390476190476,630
2072,66588,6.7683222222222215,630
2073,3633,5.178859570747218,629
2074,805,6.255854181240063,629
2075,191597,7.096222734499205,629
2076,63740,6.107515923566879,628
2077,22,6.606691305732483,628
2078,255984,8.038297177033492,627
2079,240855,7.077783094098884,627
2080,224597,7.181599681020734,627
2081,264239,6.396126315789473,627
2082,95105,6.428406698564593,627
2083,6779,6.762141547049442,627
2084,137155,6.623942583732058,627
2085,65611,4.33276357827476,626
2086,23142,5.66117107028754,626
2087,27976,7.216122672000001,625
2088,123885,6.134315176282051,624
2089,24565,6.266618589743589,624
2090,25491,6.013698717948718,624
2091,231666,5.730676282051282,624
2092,160610,7.133707556270097,622
2093,300442,6.693661848874598,622
2094,3720,6.529801575562701,622
2095,145371,7.529966237942122,622
2096,36888,6.731078904991948,621
2097,205418,6.902059581320451,621
2098,8195,6.606988727858292,621
2099,304783,7.7331649436392915,621
2100,169147,6.544278548387097,620
2101,71655,6.536756451612904,620
2102,130960,7.786767741935484,620
2103,29294,5.822408596774193,620
2104,318983,7.41973870967742,620
2105,34004,6.376252019386107,619
2106,71882,6.536003586429725,619
2107,157,6.738670371567044,619
2108,229491,7.123208737864077,618
2109,384,7.037468576051779,618
2110,1459,6.261560161812297,618
2111,162263,6.176585760517799,618
2112,103660,6.600323624595469,618
2113,4370,6.455899043760129,617
2114,318184,7.387243922204214,617
2115,202288,6.61321188006483,617
2116,271512,6.232786061588331,617
2117,256320,7.067962662337662,616
2118,248861,6.9985308441558445,616
2119,75547,6.0045438311688315,616
2120,158742,5.568292682926829,615
2121,284108,7.073941463414634,615
2122,277,5.775788617886179,615
2123,123239,6.824884364820847,614
2124,153623,6.681717263843649,614
2125,25574,6.031500815660685,613
2126,170587,6.600670473083197,613
2127,542,5.338503915171288,613
2128,109125,7.423419934640522,612
2129,1017,6.6345713071895425,612
2130,102,6.13177263502455,611
2131,159492,6.234124386252046,611
2132,22398,6.552432078559738,611
2133,202977,6.701649180327869,610
2134,16497,6.225615295081967,610
2135,281960,6.6768245901639345,610
2136,142121,7.002232786885246,610
2137,240225,6.732461412151068,609
2138,253398,6.677781067323481,609
2139,275913,7.0115997861842105,608
2140,41003,6.4125000000000005,608
2141,9910,6.653377726523888,607
2142,29773,6.468566721581548,607
2143,125921,6.2818451400329485,607
2144,98085,5.879224382207578,607
2145,58602,6.548263591433278,607
2146,251293,6.530828830313014,607
2147,181524,6.578562706270627,606
2148,25234,6.287942244224422,606
2149,151007,7.016280991735538,605
2150,276830,6.93305785123967,605
2151,7480,7.088213404958677,605
2152,215312,6.80409256198347,605
2153,2795,5.935694214876032,605
2154,3128,6.510448079470199,604
2155,92190,6.275953565505804,603
2156,158572,6.670041459369817,603
2157,2633,5.944958540630182,603
2158,218804,6.813878702163061,601
2159,223278,6.6757843333333335,600
2160,226322,5.614248333333333,600
2161,176361,5.870785,600
2162,279613,7.818758333333333,600
2163,301880,7.483834666666667,600
2164,277597,7.00036060100167,599
2165,1270,6.123656093489148,599
2166,71021,5.956896494156928,599
2167,210296,7.246683394648829,598
2168,23985,6.414260033444816,598
2169,202732,5.776685092127304,597
2170,4553,6.145889849246231,597
2171,404,5.750217755443886,597
2172,206327,6.874809848993288,596
2173,89409,7.097294117647059,595
2174,153097,6.364579495798319,595
2175,97357,6.3671734006734,594
2176,137649,6.999949409780776,593
2177,171662,7.071648111298482,593
2178,300001,7.0077533783783785,592
2179,3181,5.009315033783784,592
2180,21704,5.740243243243244,592
2181,23540,7.8100000000000005,592
2182,34166,6.032905405405406,592
2183,272739,7.450723728813559,590
2184,28086,6.098164576271187,590
2185,34969,6.814966101694915,590
2186,8107,5.837868915254237,590
2187,191055,6.7205795076400685,589
2188,814,5.543106960950764,589
2189,230253,7.54251103565365,589
2190,29678,5.173234295415959,589
2191,103132,6.670407470288625,589
2192,29410,6.571953333333333,588
2193,124380,6.060051020408163,588
2194,90041,6.036658163265306,588
2195,81640,7.117086882453151,587
2196,193557,6.241825093696763,587
2197,3242,5.7304982935153586,586
2198,252556,6.779174061433447,586
2199,216597,6.937234641638225,586
2200,35285,6.674965870307168,586
2201,28396,6.069555555555556,585
